"gene"
"mlh1"
"rb1"
"jak1"
"stat3"
"adam10"
"psen1"
"akt1s1"
"casp8"
"eif5a2"
"gsk3b"
"map2k1"
"mapk14"
"mapk9"
"nfkb2"
"pdpk1"
"smad1"
"arid1a"
"abcc10"
"map4"
"ctnna1"
"sf3b1"
"cyb5a"
"ncoa2"
"ran"
