"gene"
"cdkn2b"
"dll1"
"heyl"
"acvrl1"
"dab2"
"fgf1"
"itgav"
"mmp11"
"mmp13"
"mmp2"
"mmp28"
"pdgfrb"
"rps6ka2"
"tgfb3"
"ptprd"
"fn1"
"twist1"
"adgra2"
"ahnak2"
"col12a1"
"col6a3"
"lama2"
"nr2f1"
"palld"
"ptprm"
"sgcd"
"ackr3"
"hsd17b6"
"mecom"
"prkd1"
