"gene"
"ccnd1"
"cdk6"
"e2f4"
"tp53bp1"
"dtx3"
"lfng"
"notch1"
"acvr1b"
"bcl2"
"bmpr1b"
"cxcl8"
"egfr"
"erbb3"
"folr1"
"igf1r"
"map2k4"
"mapk1"
"mapk3"
"mmp1"
"mmp12"
"mmp7"
"mmp9"
"smad3"
"cbfb"
"gata3"
"tbx3"
"map2"
"mapt"
"npnt"
"smarcc2"
"ttyh1"
"ar"
"hsd17b2"
"hsd17b4"
"hsd17b8"
"met"
"nrip1"
"srd5a1"
